8,1,3,-1.46,-7.3,18.34,,,,
9,1,4,3,3,3,,,,
10,2,3,-8.4,-10.23,165.43,,,,
11,2,4,4.2,4.2,4.2,,,,
12,3,4,1.231,1.231,1.231,,,,
13,1,2,16.94,6.94,754.34,,,,
14,10,9,"-10 * R / (R + 20)","(-10) / (R + 20)","20 * R/(20+R)",,,,
15,11,12,,,,"(-1) * A * pow(w, 2) * 31.36 * pow(10, -6) / (1 + pow(w, 2) * 31.36 * pow(10, -6))","(-1) * A * w * 5.6 * pow(10, -3) / (1 + pow(w, 2) * 31.36 * pow(10, -6))",,
16,19,20,,,,,,"A - A * exp(500t)","A * exp(500t)"
17,19,21,,,,,,,
18,20,21,,,,,,,
19,26,27,,,,((-1)*A)/(1+26353/(w*w)),((-1)*A)/(162/w+w*0.00616),,
20,26,28,,,,-A,0,,
21,27,28,,,,((-1)*A)/(1+w*w*0.379*0.0001),"A/(162/w+w*0.00616) ",,
22,29,30,,,,((-1)*A)/(1+63448/(w*w)),((-1)*A)/(252/w+w*0.00397),,
23,29,31,,,,-A,0,,
24,30,31,,,,((-1)*A)/(1+w*w*0.158*0.0001),"A/(252/w+w*0.00397) ",,
25,11,46,,,,A,0,,
26,12,46,,,,"(-1) * A / (1 + pow(w, 2) * 31.36 * pow(10, -6))","A * w * 5.6 * pow(10, -3) / (1 + pow(w, 2) * 31.36 * pow(10, -6))",,
27,42,43,,,,"(-1)*A*31*w*w/(pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))","(-1)*A*w*(5600 - w*w)/(pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))",,
28,42,44,,,,"(-1)*A*w*w*(31-(5.6 - w*w*0.001)*0.031)/(pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))","(-1)*A*w*((5600 - w*w) + pow(w*0.031,2))/(pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))",,
29,42,45,,,,A,0,,
30,43,44,,,,"(-1)*A*pow(w, 3)*0.04/(pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))","A*w*w*18*(5.6 - w*w*0.001)/(pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))",,
31,43,45,,,,"A*(5.6 - w*w*0.001)*(w*0.031-178571/w)/(pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))","(-1)*A*(pow(0.1**w,3) - 5536*w)/(pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))",,
32,44,45,,,,"(-1)*A*(999998 - w*w*178)/ (pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))","A*w*5536/(pow(1000 - 0.17*w*w, 2) + pow(w * 5.6, 2))",,
33,32,33,-9.89,-5.49,19.78,,,,
34,32,34,-4.39,-5.49,448.35,,,,
35,33,34,-5.49,-5.49,450.55,,,,
36,35,36,0.76,-4.57,153.96,,,,
37,35,37,9.91,-4.57,19.82,,,,
38,36,37,9.15,-4.57,170.73,,,,
39,4,1,-7.63,-7.63,167.92,,,,
40,4,2,-0.69,-6.97,61.94,,,,
41,4,3,-9.09,-45.45,19.95,,,,
42,38,39,-8.51,-8.51,102.17,,,,
43,38,40,,12.38,17.43,,,,
44,38,41,0.77,-3.87,256.43,,,,
45,39,40,1.24,-12.38,16.43,,,,
46,39,41,7.74,3.87,650.39,,,,
47,40,41,6.5,8.51,182.31,,,,
