1,1,R,R,,300,170,1
4,3,R,R1,"1 кОм",300,125,1
5,3,R,R2,"800 Ом",300,205,1
7,4,R,R1,"1 кОм",340,170,1
8,4,R,R,"200 Ом",400,170,1
9,4,R,R2,"2 кОм",280,95,0
11,5,R,R1,"1 кОм",380,95,0
12,5,R,R2,"2 кОм",340,170,1
13,5,R,R3,"10 кОм",420,170,1
14,5,R,R4,"100 Ом",500,170,1
15,5,R,R,"200 Ом",280,95,0
16,6,R,R,"1 кОм",350,175,1
17,6,C,C,"5.6 нФ",285,100,0
18,6,G,,,350,255,1
19,9,R,R,"200 Ом",170,175,1
20,7,C,С,"5.6 нФ",280,100,0
21,7,R,R,"1100 Ом",350,175,1
22,7,G,,,350,255,0
23,10,G,,,400,255,0
24,10,C,C,"5.6 нФ",260,100,0
25,10,R,R,"1100 Ом",300,175,1
26,10,R,Rн,"2 кОм",400,175,1
27,11,C,C,"5.6 нф",280,100,0
28,11,R,R,"1100 Ом",350,175,1
29,11,G,,,350,255,0
30,12,R,Rн,"2 кОм",400,175,1
31,12,C,C,"5.6 нф",275,100,0
32,12,R,R,"1100 Ом",325,175,1
33,12,G,,,400,255,0
34,3,G,,,300,251,0
35,4,G,,,340,250,0
36,5,G,,,340,250,0
37,1,G,,,300,250,0
38,9,R,R2,"2 кОм",245,95,0
39,9,R,R3,"10 кОм",295,175,1
40,9,R,R4,"100 Ом",345,95,0
41,9,G,,,295,250,0
42,13,G,,,400,255,0
43,13,C,C,"5.6 нф",260,100,0
44,13,L,L,"31 мГн",345,100,0
45,13,R,R,"1 кОм",400,175,1
46,14,R,R,"1100 Ом",500,175,1
47,14,R,Rк,"110 Ом",450,100,0
48,14,C,С,"5.6 нф",275,100,0
49,14,L,Lк,"31 мГн",350,100,0
50,14,G,,,500,255,0
51,15,R,R,"1100 Ом",500,175,1
52,15,R,Rк,"110 Ом",450,100,0
53,15,C,C,"5.6 нф",275,100,0
54,15,L,Lк,"31 мГн",350,100,0
55,15,G,,,500,255,0
56,16,C,C,"5.6 нф",500,175,1
57,16,R,Rк,"110 Ом",450,100,0
58,16,L,Lк,"31 мГн",365,100,0
59,16,R,R,"1100 Ом",275,100,0
60,16,G,,,500,255,0
